task_id,task_category,case_name,model,prompt_type,run_id,source_label,compile_status,run_status,passed,test_match,hard_checks_passed,functional_category,failure_reasons,hard_failure_reasons,classification_reason,compile_sec,runtime_sec,source_file
F011,Ownership and lifetime workflows,draft revise/discard/restore,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F011.c
F012,Ownership and lifetime workflows,checkout queue serve/cancel/rejoin,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,failed,0,0,1,acceptable_difference,order_mismatch:Bob -> second note -> Ann -> Bob,,hard checks passed; strict test checks differed: order_mismatch:Bob -> second note -> Ann -> Bob,0.043,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F012.c
F013,Ownership and lifetime workflows,task mover todo/doing/done,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,failed,0,0,0,implementation_error,nonzero_exit:-11;missing:build;missing:write code;missing:doing;missing:done;order_mismatch:doing -> done,nonzero_exit:-11;missing:build;missing:write code;missing:doing;missing:done,hard checks failed: nonzero_exit:-11;missing:build;missing:write code;missing:doing;missing:done,0.051,1.111,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F013.c
F014,Ownership and lifetime workflows,label tracker unlabel/delete,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.047,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F014.c
F015,Ownership and lifetime workflows,contact note/merge/delete,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.048,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F015.c
F016,File and line parsing,contact importer load/add/delete/report,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F016.c
F017,File and line parsing,config editor load/set/unset/write,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F017.c
F018,File and line parsing,word frequency load/remove/top,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F018.c
F019,File and line parsing,transaction journal balance/reverse,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F019.c
F020,File and line parsing,chunked catalog find/delete/add/print,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.044,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F020.c
F021,Nested records and multi-field ownership,recipe ingredient add/remove/show,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.044,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F021.c
F022,Nested records and multi-field ownership,project task move/done/report,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,failed,0,0,0,implementation_error,missing:p2;missing:t1;missing:note one;missing:done,missing:p2;missing:t1;missing:note one;missing:done,hard checks failed: missing:p2;missing:t1;missing:note one;missing:done,0.046,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F022.c
F023,Nested records and multi-field ownership,mailbox tag/search/delete/report,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,failed,0,0,0,implementation_error,missing:work;missing:sub2;missing:home,missing:sub2;missing:home,hard checks failed: missing:sub2;missing:home,0.046,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F023.c
F024,Nested records and multi-field ownership,bibliography author remove/find/list,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,failed,0,0,0,implementation_error,missing:Book_A;missing:2020,missing:Book_A,hard checks failed: missing:Book_A,0.045,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F024.c
F025,Nested records and multi-field ownership,classroom transfer/drop/print,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,failed,0,0,0,implementation_error,missing:c2;missing:Ann;missing:note one,missing:c2;missing:Ann;missing:note one,hard checks failed: missing:c2;missing:Ann;missing:note one,0.047,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F025.c
F026,"Sorting, filtering, and bulk operations",filtered notes find/keep/print,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F026.c
F027,"Sorting, filtering, and bulk operations",priority reminders bump/top/remove,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,failed,0,0,0,implementation_error,missing:t1;missing:note one,missing:t1;missing:note one,hard checks failed: missing:t1;missing:note one,0.046,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F027.c
F028,"Sorting, filtering, and bulk operations",route planner insert/move/find/print,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.047,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F028.c
F029,"Sorting, filtering, and bulk operations",duplicate cleaner dedup/delete/find,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F029.c
F030,"Sorting, filtering, and bulk operations",rename table apply/swap/delete,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,failed,0,0,0,implementation_error,missing:the dog sat;missing:red;missing:blue;missing:cat,missing:red;missing:blue;missing:cat,hard checks failed: missing:red;missing:blue;missing:cat,0.044,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F030.c
F031,Failure paths and cleanup,batch importer all-or-nothing,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,failed,0,0,0,implementation_error,unexpected:note three,unexpected:note three,hard checks failed: unexpected:note three,0.044,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F031.c
F032,Failure paths and cleanup,transactional settings abort/commit,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.044,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F032.c
F033,Failure paths and cleanup,employee update/delete/list,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.044,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F033.c
F034,Failure paths and cleanup,replace-from-file note store load,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.044,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F034.c
F035,Failure paths and cleanup,copy queue clone/run/list,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.044,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F035.c
F036,Length and numeric size calculations,length-prefixed records,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F036.c
F037,Length and numeric size calculations,hex buffer append/slice/list,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,failed,0,0,0,implementation_error,missing:buf;regex_missing:\b4\b,missing:buf;regex_missing:\b4\b,hard checks failed: missing:buf;regex_missing:\b4\b,0.045,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F037.c
F038,Length and numeric size calculations,run-length decoder oversized reject,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.041,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F038.c
F039,Length and numeric size calculations,counted table set/get/delete,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F039.c
F040,Length and numeric size calculations,packet cache lengths/stats/drop,Deepseek,Security Design First,02,Deepseek_SDF02,compiled,failed,0,0,0,implementation_error,missing:abc;missing:hello;regex_missing:\b5\b;regex_missing:\b0\b,missing:abc;missing:hello;regex_missing:\b5\b;regex_missing:\b0\b,hard checks failed: missing:abc;missing:hello;regex_missing:\b5\b;regex_missing:\b0\b,0.042,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_SDF_Code/Deepseek_SDF02/F040.c
